student_id,name,gender,age,study_hours,previous_score,attendance_percentage,parent_education_level,parent_income,internet_access_at_home,sleep_hours,extracurricular_activities,tuition_classes,library_access,transport_facility,midterm_score,assignment_score,quiz_score,project_score,final_score,grade
S0210,Amelia Thomas,Female,17,4.4,66,71,Bachelor's,66463,Yes,6,No,Yes,Yes,Yes,62,60,54,58,58.8,D
S0211,Joseph Jackson,Female,16,2.8,62,77,High School,37977,No,8,Yes,Yes,No,No,48,49,43,48,47.4,F
S0212,Chloe Carter,Female,17,2.5,83,92,Master's,102241,Yes,9,Yes,No,Yes,Yes,57,49,56,58,55.6,D
S0213,Emma Adams,Female,16,5.0,72,96,PhD,162975,Yes,9,Yes,No,No,No,65,64,64,54,60.2,C
S0214,Joseph Robinson,Female,17,6.6,87,83,High School,53154,Yes,8,No,Yes,No,No,62,75,75,68,69.0,C
S0215,Charles Robinson,Female,17,4.2,66,79,Master's,110625,Yes,7,No,No,Yes,Yes,53,59,50,53,53.8,D
S0216,Madison Reed,Male,17,5.5,69,90,Bachelor's,67182,Yes,8,Yes,Yes,Yes,Yes,67,69,71,53,62.4,C
S0217,Zoe Garcia,Female,18,6.1,89,58,Bachelor's,55298,Yes,7,Yes,Yes,Yes,No,58,72,76,56,62.7,C
S0218,Alexander Edwards,Male,16,3.5,78,71,Bachelor's,78628,Yes,7,No,No,Yes,No,60,63,58,51,56.7,D
S0219,Jonathan Nelson,Male,18,5.0,57,59,Bachelor's,55923,Yes,7,No,No,Yes,No,48,50,58,54,52.3,D
S0220,Ava Collins,Female,17,4.0,78,71,High School,50616,No,7,Yes,No,Yes,Yes,50,61,61,69,61.4,C
S0221,Leah Jones,Female,17,7.4,93,74,High School,43331,Yes,8,Yes,Yes,Yes,No,72,80,80,74,75.6,B
S0222,Christian Williams,Male,18,7.3,69,97,High School,50690,No,7,Yes,No,Yes,No,76,84,68,81,78.4,B
S0223,Olivia Stewart,Female,15,3.5,82,54,Bachelor's,74183,No,7,Yes,Yes,Yes,No,50,50,57,55,53.0,D
S0224,Samantha Green,Female,17,5.6,65,78,High School,36578,Yes,9,No,Yes,Yes,Yes,65,68,55,64,63.7,C
S0225,Nathan Mitchell,Female,17,6.6,73,88,Master's,89875,Yes,6,No,Yes,Yes,No,57,68,65,75,67.6,C
S0226,Sarah Martin,Female,17,6.3,88,86,Bachelor's,76710,Yes,7,No,No,Yes,No,67,72,70,65,67.6,C
S0227,Ethan Cook,Female,16,5.1,78,97,Master's,97254,No,9,Yes,No,No,Yes,66,66,60,71,67.1,C
S0228,Zoe Green,Female,16,7.0,90,84,Bachelor's,77966,Yes,7,No,No,Yes,Yes,71,76,56,76,71.8,B
S0229,Matthew Thompson,Female,18,3.6,80,86,Bachelor's,83621,Yes,7,Yes,Yes,No,Yes,59,63,59,57,59.0,D
S0230,Matthew Wright,Female,17,4.5,98,64,PhD,156121,Yes,6,Yes,Yes,Yes,Yes,68,63,70,58,63.3,C
S0231,Grace Roberts,Female,17,3.7,56,72,High School,45882,Yes,7,Yes,Yes,Yes,Yes,44,49,45,39,43.2,F
S0232,Grace Walker,Female,17,6.2,72,64,Bachelor's,82429,Yes,8,Yes,Yes,Yes,No,61,53,48,61,57.4,D
S0233,Benjamin Thomas,Male,18,4.1,62,88,Master's,104041,Yes,7,No,Yes,Yes,Yes,58,61,56,49,54.7,D
S0234,John Smith,Male,16,4.7,63,85,High School,49730,Yes,7,Yes,No,Yes,Yes,52,61,64,60,58.8,D
S0235,Nathan Carter,Male,17,5.9,63,85,High School,39663,Yes,6,Yes,Yes,Yes,No,58,58,70,57,59.4,D
S0236,Samantha Rogers,Male,17,6.0,77,73,Bachelor's,74333,No,5,Yes,Yes,Yes,Yes,68,61,72,53,61.2,C
S0237,Charles Campbell,Female,19,3.6,78,72,High School,30941,Yes,9,Yes,Yes,Yes,Yes,54,54,52,65,58.1,D
S0238,Dylan Smith,Female,17,6.6,80,84,Bachelor's,56907,No,7,Yes,Yes,Yes,No,73,63,63,79,71.9,B
S0239,Charlotte Phillips,Female,17,5.7,62,75,High School,34837,Yes,7,Yes,Yes,No,No,69,55,65,69,65.6,C
S0240,James Robinson,Male,17,3.4,71,72,Master's,109489,Yes,6,No,No,Yes,No,63,50,52,62,58.4,D
S0241,Christopher Brown,Female,17,3.0,63,77,Master's,102627,Yes,8,Yes,No,Yes,No,51,41,46,50,47.8,F
S0242,Isabella Allen,Female,17,5.0,86,75,Master's,90696,Yes,9,Yes,No,Yes,Yes,58,69,63,63,63.0,C
S0243,Charlotte Roberts,Female,17,6.3,65,73,Bachelor's,71226,No,7,Yes,Yes,No,No,57,59,54,69,61.8,C
S0244,Madison Scott,Female,18,6.3,72,70,Master's,98543,Yes,6,No,Yes,No,Yes,67,53,66,54,58.8,D
S0245,Amelia Wright,Female,18,5.5,82,86,High School,42615,No,7,Yes,Yes,Yes,No,60,71,72,71,68.4,C
S0246,James Morris,Male,17,5.1,68,98,Master's,86466,Yes,8,Yes,No,No,Yes,66,63,66,66,65.4,C
S0247,Gabriel Green,Female,18,5.8,83,82,Master's,115771,Yes,7,Yes,No,Yes,No,58,68,65,64,63.4,C
S0248,Audrey Jones,Male,17,3.7,94,84,Master's,103350,Yes,8,Yes,Yes,Yes,No,69,63,70,72,69.2,C
S0249,Isabella Martin,Male,17,7.5,77,87,Bachelor's,55375,Yes,7,Yes,Yes,No,No,82,75,68,73,74.9,B
S0250,Grace Allen,Female,15,7.5,86,86,High School,30262,Yes,8,No,Yes,No,Yes,77,72,80,77,76.4,B
S0251,Brooklyn Lewis,Male,19,5.6,50,74,Bachelor's,75746,No,7,No,No,Yes,Yes,55,61,52,62,58.6,D
S0252,Christian Perez,Female,16,5.3,70,99,Master's,107886,Yes,6,Yes,No,No,No,64,58,63,69,64.6,C
S0253,Ryan Green,Male,16,4.4,77,74,High School,41580,Yes,7,No,No,Yes,No,66,61,65,67,65.2,C
S0254,Jonathan Walker,Female,16,5.8,62,88,Master's,117651,Yes,6,No,Yes,No,Yes,64,72,61,57,62.4,C
S0255,Mia Jones,Male,17,4.0,77,87,High School,37833,Yes,9,Yes,Yes,Yes,No,55,60,60,62,59.6,D
S0256,Lily Carter,Female,16,1.7,88,62,High School,31893,Yes,8,Yes,Yes,Yes,No,49,51,62,50,51.8,D
S0257,Joshua Wilson,Female,16,1.0,52,78,High School,38106,Yes,8,Yes,Yes,Yes,Yes,40,40,37,40,39.6,F
S0258,Matthew Adams,Male,16,3.8,61,83,High School,41826,Yes,7,Yes,Yes,Yes,No,53,50,52,51,51.4,D
S0259,John Jones,Female,16,5.2,77,83,Bachelor's,56652,Yes,6,No,No,Yes,No,59,58,71,61,61.4,C
S0260,Dylan Williams,Female,17,5.5,81,85,High School,51924,Yes,8,No,No,Yes,Yes,66,64,69,66,66.0,C
S0261,Charlotte Hall,Male,18,4.3,84,90,PhD,143367,Yes,7,No,Yes,Yes,Yes,70,66,62,69,67.6,C
S0262,Charlotte Johnson,Male,17,5.2,76,82,Bachelor's,76199,Yes,6,No,No,Yes,No,66,60,64,69,65.7,C
S0263,Gabriel Wright,Female,17,4.6,81,86,High School,48296,Yes,7,Yes,Yes,Yes,No,70,65,73,78,72.6,B
S0264,Samantha King,Female,18,3.5,86,82,Master's,110868,Yes,5,Yes,Yes,Yes,Yes,60,58,62,70,63.9,C
S0265,Abigail Hall,Female,15,4.9,70,72,Master's,93792,Yes,7,No,Yes,Yes,No,55,54,58,64,58.8,D
S0266,Isabella Cook,Female,17,6.2,68,82,Master's,105597,Yes,7,Yes,Yes,Yes,No,69,60,61,64,64.0,C
S0267,Nicholas Nelson,Male,19,3.6,73,89,High School,33637,Yes,6,No,Yes,No,No,57,60,63,59,59.3,D
S0268,Ryan Edwards,Male,17,3.6,77,93,Master's,117696,Yes,9,No,Yes,No,Yes,54,62,59,53,56.0,D
S0269,Jonathan Thomas,Female,17,3.4,67,87,Master's,100989,Yes,6,No,Yes,Yes,No,49,54,58,51,52.2,D
S0270,Michael Smith,Male,17,2.1,70,95,High School,39290,Yes,6,No,No,Yes,Yes,51,44,54,55,51.6,D
S0271,Ryan Campbell,Male,17,4.3,80,86,High School,35599,Yes,6,Yes,Yes,Yes,Yes,65,63,51,52,57.3,D
S0272,Mia Edwards,Female,17,6.1,77,91,Bachelor's,77832,Yes,8,No,Yes,Yes,Yes,73,65,64,68,68.1,C
S0273,Leah Scott,Female,16,5.3,73,91,High School,44342,Yes,7,No,Yes,Yes,Yes,64,74,70,66,67.7,C
S0274,Ethan Thomas,Female,16,4.7,54,80,Master's,109941,No,7,Yes,No,No,No,49,57,57,53,53.4,D
S0275,Joshua Sanchez,Female,16,5.2,75,89,Bachelor's,68945,Yes,5,No,Yes,Yes,Yes,63,63,68,63,63.8,C
S0276,Emma Cook,Female,19,4.3,63,73,PhD,140133,Yes,5,Yes,No,Yes,No,57,60,50,53,55.0,D
S0277,Nicholas Walker,Female,18,2.1,87,85,Bachelor's,69312,Yes,7,No,Yes,Yes,Yes,61,57,54,62,59.6,D
S0278,Daniel Allen,Female,16,6.2,71,88,High School,37382,No,8,Yes,Yes,No,Yes,69,59,63,48,57.7,D
S0279,Ava Scott,Male,16,6.6,63,93,High School,38982,Yes,8,Yes,No,Yes,No,65,65,64,63,64.1,C
S0280,Grace Wilson,Male,18,3.9,74,90,Bachelor's,74953,No,6,Yes,Yes,Yes,No,55,58,61,65,60.5,C
S0281,Grace Carter,Female,16,4.8,90,93,Master's,102130,Yes,7,No,Yes,Yes,Yes,70,75,69,62,67.6,C
S0282,Brandon Martinez,Female,16,4.6,83,81,Master's,116086,Yes,9,Yes,Yes,Yes,No,66,60,61,63,62.8,C
S0283,Sophia Cook,Male,19,5.5,78,79,Bachelor's,79888,Yes,7,Yes,No,Yes,Yes,62,70,58,60,62.2,C
S0284,Dylan Anderson,Male,17,7.5,59,79,High School,34633,Yes,8,Yes,Yes,Yes,Yes,58,62,62,68,63.4,C
S0285,Christopher Perez,Male,18,6.7,94,85,High School,47304,No,6,No,Yes,No,No,75,76,76,79,77.0,B
S0286,Charles Lewis,Male,19,4.4,68,64,Master's,117284,Yes,9,Yes,No,Yes,No,43,48,51,46,46.4,F
S0287,Lily Wilson,Female,17,5.8,86,95,High School,43778,Yes,8,Yes,Yes,Yes,Yes,65,79,70,82,75.4,B
S0288,Jonathan Lee,Male,15,6.9,71,82,Bachelor's,62008,Yes,9,No,No,Yes,No,57,62,54,68,62.0,C
S0289,Elizabeth Mitchell,Female,16,5.6,85,78,Bachelor's,70523,Yes,8,Yes,No,Yes,No,70,68,67,66,67.6,C
S0290,Gabriel Mitchell,Female,18,5.0,91,57,PhD,137405,Yes,7,No,Yes,Yes,Yes,69,66,76,65,67.8,C
S0291,Brooklyn Perez,Female,18,5.7,83,82,Bachelor's,73765,Yes,9,Yes,Yes,Yes,No,69,63,69,51,60.6,C
S0292,Emily Reed,Female,18,3.9,84,80,High School,33618,No,7,No,Yes,Yes,No,70,60,60,68,65.7,C
S0293,Christian Adams,Male,16,4.2,74,73,Master's,110373,Yes,7,Yes,No,No,No,49,60,60,51,53.6,D
S0294,Elizabeth Walker,Female,18,3.4,70,75,Bachelor's,75827,Yes,8,Yes,No,Yes,Yes,50,48,56,61,54.9,D
S0295,Samantha Roberts,Male,19,5.5,77,82,Bachelor's,55272,Yes,8,No,No,Yes,No,66,65,63,59,62.6,C
S0296,Isabella Reed,Male,17,4.8,71,76,PhD,170354,Yes,9,Yes,No,No,Yes,65,56,60,61,60.9,C
S0297,Ethan Walker,Female,19,3.8,98,88,Master's,98007,Yes,6,No,No,Yes,No,61,61,76,78,70.1,B
S0298,Charles Mitchell,Male,18,4.8,63,75,High School,48157,No,8,Yes,Yes,Yes,No,52,49,45,56,52.0,D
S0299,Brandon Green,Male,18,5.7,87,84,High School,32547,Yes,8,Yes,Yes,Yes,Yes,75,69,77,77,74.9,B
S0300,Daniel Reed,Female,17,7.9,81,94,Bachelor's,58164,Yes,6,Yes,No,Yes,No,85,74,63,75,75.5,B
S0301,Abigail Rogers,Male,17,6.5,78,82,Master's,106164,Yes,7,No,Yes,No,No,73,69,64,72,70.4,B
S0302,Charles Robinson,Female,16,1.6,93,86,High School,44414,No,7,Yes,Yes,Yes,No,62,52,70,58,59.6,D
S0303,Ethan Harris,Male,17,5.4,79,85,Master's,99327,Yes,7,Yes,No,Yes,Yes,67,59,61,65,63.7,C
S0304,Gabriel Perez,Female,17,7.1,67,82,Bachelor's,70576,Yes,9,Yes,Yes,Yes,Yes,70,64,61,61,63.9,C
S0305,Isabella Parker,Female,18,3.0,79,81,High School,30946,Yes,7,Yes,No,Yes,No,53,57,44,57,54.0,D
S0306,Matthew Thomas,Female,19,5.8,73,76,Master's,99693,Yes,8,Yes,No,Yes,Yes,61,61,59,56,58.7,D
S0307,Benjamin Martinez,Female,18,4.6,81,84,PhD,137241,Yes,9,No,Yes,Yes,No,60,64,50,59,58.9,D
S0308,Chloe Moore,Male,16,6.7,85,79,High School,46890,Yes,7,Yes,No,No,Yes,65,77,67,76,72.1,B
S0309,Joshua Harris,Female,17,5.6,65,97,Bachelor's,70540,Yes,8,No,Yes,No,Yes,61,58,71,55,59.5,D
S0310,Nathan Martin,Male,16,3.7,89,90,Bachelor's,61719,Yes,7,Yes,Yes,Yes,Yes,57,63,60,62,60.6,C
S0311,James Mitchell,Female,18,4.7,72,67,Master's,110081,Yes,8,No,Yes,Yes,Yes,58,55,60,55,56.5,D
S0312,Isabella Young,Male,18,4.8,80,68,PhD,171861,Yes,6,No,Yes,No,No,61,44,64,57,56.4,D
S0313,David Perez,Female,19,4.8,82,81,Bachelor's,66350,Yes,9,Yes,Yes,Yes,Yes,69,61,56,63,63.0,C
S0314,Joseph Martin,Male,17,6.7,79,78,Master's,117021,Yes,6,No,Yes,Yes,Yes,65,66,66,70,67.4,C
S0315,Christian Stewart,Female,19,3.7,74,80,Bachelor's,65064,Yes,7,Yes,Yes,Yes,Yes,59,53,55,49,53.2,D
S0316,Zoe Phillips,Female,18,6.5,69,89,Bachelor's,83369,Yes,8,No,Yes,No,No,71,60,71,60,64.4,C
S0317,Amelia Baker,Female,17,4.5,72,85,Bachelor's,72576,Yes,7,No,No,No,Yes,69,61,56,53,59.0,D
S0318,James Mitchell,Male,18,5.3,94,85,High School,47848,Yes,7,Yes,No,Yes,No,60,70,68,76,69.6,C
S0319,Joseph Scott,Female,17,5.1,65,96,Bachelor's,55390,Yes,7,Yes,Yes,Yes,No,56,56,66,60,59.1,D
S0320,Samuel Anderson,Male,17,5.0,66,68,Bachelor's,76999,No,8,Yes,Yes,Yes,No,63,44,54,61,57.0,D
S0321,Emily Morris,Male,17,5.0,66,83,High School,42668,Yes,6,Yes,Yes,Yes,No,58,52,63,65,60.4,C
S0322,Isabella Lee,Male,17,7.2,77,76,PhD,121569,No,6,Yes,Yes,Yes,No,71,60,69,61,64.5,C
S0323,Mia Collins,Male,17,6.3,57,96,High School,43029,Yes,7,Yes,No,No,No,60,42,56,62,56.6,D
S0324,Daniel Turner,Female,17,4.5,59,60,High School,52490,Yes,7,Yes,No,Yes,Yes,47,53,55,53,51.8,D
S0325,William Sanchez,Female,17,7.4,72,60,Bachelor's,68107,Yes,6,No,Yes,No,Yes,66,55,65,63,62.4,C
S0326,Ethan Campbell,Male,17,5.4,60,85,Master's,90867,Yes,7,Yes,Yes,Yes,Yes,62,56,66,60,60.6,C
S0327,Zoe Lee,Male,17,5.5,61,93,High School,45284,Yes,7,Yes,Yes,Yes,No,65,50,50,67,60.6,C
S0328,Savannah King,Male,17,3.7,60,90,Bachelor's,56211,Yes,6,No,No,Yes,No,59,63,54,55,57.4,D
S0329,Emma Jones,Male,17,4.3,65,74,PhD,119121,No,7,Yes,Yes,Yes,No,62,53,55,53,55.6,D
S0330,Christopher Roberts,Female,17,4.0,84,97,Bachelor's,56539,Yes,8,Yes,No,Yes,Yes,64,65,59,68,65.1,C
S0331,Hannah Harris,Male,15,5.1,86,70,Bachelor's,80488,Yes,6,Yes,No,No,No,61,67,75,65,65.9,C
S0332,Ava Rogers,Male,17,6.0,98,95,Master's,102027,Yes,7,No,Yes,No,Yes,68,83,73,74,74.2,B
S0333,Dylan Smith,Male,16,5.6,98,71,High School,38693,Yes,8,No,No,Yes,Yes,72,66,75,61,66.9,C
S0334,Madison Thompson,Female,17,7.4,84,78,Bachelor's,63921,Yes,7,Yes,No,Yes,Yes,72,65,73,72,70.8,B
S0335,William Young,Female,18,3.7,87,88,Bachelor's,72667,Yes,8,No,No,No,Yes,59,65,62,65,63.0,C
S0336,Dylan Williams,Female,17,5.2,77,67,Bachelor's,79064,No,7,Yes,Yes,Yes,No,63,71,56,55,60.4,C
S0337,Lily Garcia,Female,17,3.1,81,97,Bachelor's,65310,Yes,7,No,Yes,Yes,Yes,56,60,63,60,59.4,D
S0338,Joshua Harris,Female,19,3.6,98,78,High School,53729,Yes,5,No,No,Yes,Yes,66,65,68,61,64.1,C
S0339,Leah Phillips,Male,18,6.9,79,83,Bachelor's,67744,Yes,8,No,No,No,No,64,73,64,75,70.2,B
S0340,Andrew Wilson,Female,19,4.3,89,94,High School,34386,Yes,8,Yes,No,Yes,No,72,69,73,71,71.2,B
S0341,Grace Harris,Female,18,3.8,64,74,Master's,117263,Yes,5,Yes,No,Yes,No,54,52,59,54,54.4,D
S0342,Christian Brown,Female,16,1.8,67,93,Bachelor's,83412,Yes,7,Yes,No,No,Yes,57,49,51,53,52.9,D
S0343,Dylan Taylor,Female,16,3.8,79,98,Bachelor's,72303,Yes,9,No,No,Yes,No,63,67,68,66,65.8,C
S0344,Savannah Wright,Female,17,4.7,77,75,Master's,97242,Yes,7,Yes,Yes,Yes,No,60,55,55,52,55.0,D
S0345,Abigail Wright,Female,16,3.0,68,96,Master's,93947,Yes,7,No,Yes,Yes,Yes,65,61,47,54,57.1,D
S0346,Ava Parker,Female,17,4.6,98,64,High School,43946,No,9,No,No,No,No,67,58,59,65,63.2,C
S0347,Christian Smith,Female,17,6.9,77,86,PhD,171816,Yes,8,Yes,No,Yes,Yes,76,69,75,73,73.2,B
S0348,Michael Taylor,Female,17,3.9,70,70,High School,46017,Yes,7,No,No,No,Yes,57,55,53,46,51.6,D
S0349,Chloe Reed,Female,18,3.6,77,91,High School,51659,Yes,8,No,Yes,Yes,No,63,64,58,56,59.6,D
S0350,Charles Nelson,Male,18,3.3,75,91,Master's,85507,Yes,8,No,No,Yes,No,58,58,62,57,58.2,D
S0351,Hannah Garcia,Female,17,3.3,77,100,Bachelor's,56436,Yes,7,No,No,No,Yes,64,57,56,68,63.0,C
S0352,Leah Stewart,Male,18,5.8,56,96,Bachelor's,82151,Yes,7,No,Yes,Yes,No,63,57,57,63,60.9,C
S0353,Samantha Stewart,Female,17,5.1,91,80,High School,41618,Yes,7,Yes,Yes,Yes,No,70,62,66,67,66.6,C
S0354,Nathan Lewis,Female,18,6.4,91,71,Bachelor's,63750,Yes,9,No,Yes,Yes,No,67,66,71,72,69.4,C
S0355,Charlotte Lewis,Female,16,8.0,93,88,Bachelor's,71122,Yes,8,Yes,Yes,Yes,Yes,72,83,87,73,76.8,B
S0356,Lucas Roberts,Male,19,2.3,79,81,PhD,117354,Yes,6,No,Yes,Yes,No,48,51,41,54,50.0,D
S0357,Lily Mitchell,Male,18,5.6,83,98,High School,41294,No,8,No,Yes,Yes,Yes,73,74,77,78,75.8,B
S0358,Matthew Clark,Male,17,3.3,65,60,Master's,115979,No,7,Yes,Yes,Yes,No,45,63,55,57,54.9,D
S0359,Emily Morris,Female,16,6.2,85,100,Bachelor's,75900,Yes,6,No,No,No,Yes,67,68,74,68,68.6,C
S0360,Brandon Reed,Male,17,4.6,78,87,Master's,98840,Yes,7,Yes,No,Yes,Yes,69,63,68,52,60.8,C
S0361,Amelia Jackson,Male,16,5.0,69,74,Master's,90037,Yes,7,Yes,No,No,No,58,61,50,61,58.6,D
S0362,Joshua Smith,Male,16,3.1,85,89,Master's,113633,No,8,Yes,Yes,Yes,Yes,64,61,60,59,60.8,C
S0363,Michael Martin,Female,17,4.4,86,95,Bachelor's,79495,Yes,6,No,Yes,Yes,Yes,71,61,72,67,67.6,C
S0364,Joseph Anderson,Female,17,5.1,76,83,High School,45848,No,8,No,No,Yes,Yes,66,68,61,55,61.2,C
S0365,Isabella Wilson,Male,18,7.0,80,64,High School,33715,Yes,7,No,Yes,Yes,No,56,72,60,64,63.0,C
S0366,Samantha Martin,Male,19,3.8,63,79,Master's,92837,Yes,6,Yes,No,Yes,Yes,54,54,57,46,51.2,D
S0367,Ava Turner,Female,17,4.2,90,92,Master's,119069,Yes,9,No,No,No,No,64,62,67,69,66.0,C
S0368,Isabella Hall,Female,17,6.4,64,87,Bachelor's,62370,No,7,No,Yes,No,Yes,59,72,62,71,66.8,C
S0369,Chloe Rodriguez,Female,16,3.7,67,80,High School,51569,No,7,Yes,No,No,Yes,48,56,65,52,53.8,D
S0370,Chloe Perez,Male,18,6.7,76,95,Bachelor's,73539,Yes,7,Yes,Yes,Yes,Yes,64,65,71,66,66.0,C
S0371,Grace Rodriguez,Female,17,5.0,88,89,Bachelor's,61411,Yes,8,Yes,Yes,No,Yes,68,77,70,66,69.3,C
S0372,Savannah Wright,Female,19,5.5,88,90,Bachelor's,61365,Yes,7,No,No,Yes,Yes,75,82,76,68,73.8,B
S0373,Chloe Roberts,Female,18,5.6,75,78,Master's,115499,Yes,6,No,Yes,Yes,Yes,63,62,56,67,63.4,C
S0374,Brandon Perez,Female,17,4.1,84,77,PhD,110692,Yes,6,No,No,No,No,60,51,55,65,59.4,D
S0375,Andrew Thompson,Male,16,5.6,55,65,High School,31478,Yes,7,Yes,Yes,Yes,No,46,49,51,51,49.4,F
S0376,Benjamin Nelson,Male,18,3.8,66,79,Bachelor's,61396,Yes,8,No,Yes,Yes,Yes,53,46,67,54,54.1,D
S0377,Abigail Taylor,Female,18,4.2,67,91,Bachelor's,63448,Yes,7,Yes,No,Yes,Yes,69,48,61,65,62.0,C
S0378,Chloe Rogers,Female,16,5.8,90,80,Bachelor's,65622,Yes,6,Yes,No,Yes,No,71,64,70,68,68.2,C
S0379,Christopher Taylor,Female,17,5.4,83,86,High School,46825,Yes,6,No,Yes,Yes,Yes,73,64,66,74,70.6,B
S0380,Audrey Mitchell,Female,18,4.9,77,93,High School,40073,Yes,7,Yes,Yes,Yes,Yes,59,63,66,73,66.4,C
S0381,Olivia White,Female,16,3.1,78,86,Master's,90209,Yes,9,No,No,No,No,60,55,70,51,56.9,D
S0382,James Morris,Female,19,3.5,94,87,Bachelor's,83396,Yes,7,Yes,Yes,Yes,No,66,65,64,69,66.7,C
S0383,Charles Johnson,Male,17,5.4,73,68,Bachelor's,61533,Yes,9,No,No,Yes,No,74,55,51,47,56.0,D
S0384,Mia Green,Female,16,6.1,59,79,PhD,117211,Yes,7,Yes,No,Yes,Yes,64,59,44,53,55.6,D
S0385,Savannah Stewart,Male,18,3.3,88,99,Master's,94927,Yes,6,Yes,No,Yes,Yes,56,58,60,63,59.8,D
S0386,James Nelson,Male,17,3.7,77,83,High School,41927,Yes,8,Yes,No,Yes,No,46,55,66,52,53.2,D
S0387,John White,Female,17,5.2,86,100,Bachelor's,74029,Yes,7,Yes,Yes,Yes,Yes,68,80,71,70,71.6,B
S0388,Samantha Morris,Male,16,5.2,74,75,Bachelor's,79594,Yes,8,No,No,No,No,60,58,55,64,60.4,C
S0389,Gabriel Anderson,Male,15,2.6,65,84,Master's,94316,No,9,Yes,No,No,No,49,53,49,54,51.8,D
S0390,David Allen,Male,17,5.2,80,78,Master's,97177,No,6,No,Yes,No,Yes,57,66,56,61,60.2,C
S0391,Charles Robinson,Female,17,4.1,75,88,Master's,95846,Yes,6,No,No,No,No,67,63,61,59,62.1,C
S0392,Andrew Reed,Male,17,7.5,77,91,Bachelor's,62933,Yes,8,Yes,Yes,Yes,No,72,81,66,71,72.5,B
S0393,Ethan Nelson,Male,18,5.4,94,88,Master's,87080,Yes,7,Yes,Yes,No,No,80,74,66,81,77.1,B
S0394,Victoria Parker,Male,17,5.6,62,92,High School,36089,No,6,No,Yes,Yes,Yes,67,52,65,62,61.7,C
S0395,Nicholas Smith,Male,16,5.7,78,82,High School,53780,Yes,5,No,No,Yes,Yes,70,63,60,61,63.5,C
S0396,David Rogers,Male,17,3.2,65,80,Bachelor's,81123,Yes,5,No,Yes,Yes,Yes,54,48,50,50,50.6,D
S0397,Olivia Wright,Male,19,7.9,44,64,High School,37797,Yes,8,Yes,No,Yes,Yes,54,68,50,48,53.8,D
S0398,Daniel Jones,Female,18,2.6,74,88,High School,47245,Yes,6,No,No,Yes,No,57,56,52,51,53.6,D
S0399,Joshua Jones,Male,17,6.2,75,84,Master's,93346,Yes,7,Yes,Yes,No,Yes,63,56,68,70,65.2,C
S0400,Hannah Brown,Male,17,5.9,82,81,PhD,143672,Yes,7,No,Yes,Yes,Yes,64,68,77,72,70.0,B
S0401,Joseph Roberts,Male,17,4.3,72,80,Bachelor's,72653,Yes,7,No,No,Yes,Yes,48,53,67,62,57.4,D
S0402,Jonathan Wilson,Male,18,6.0,57,82,Bachelor's,71788,Yes,5,Yes,Yes,Yes,No,53,60,52,59,56.6,D
S0403,Mia Harris,Female,18,4.5,65,80,Bachelor's,80419,Yes,8,Yes,No,Yes,Yes,61,52,63,59,58.7,D
S0404,Daniel Lewis,Female,18,4.0,91,77,Bachelor's,64974,Yes,5,Yes,Yes,Yes,Yes,61,62,63,64,62.7,C
S0405,Amelia Lee,Male,18,5.7,65,84,High School,31184,No,8,Yes,Yes,Yes,Yes,64,57,59,67,63.0,C
S0406,Audrey Smith,Male,18,3.5,94,87,PhD,144493,Yes,8,No,No,Yes,No,69,67,66,68,67.8,C
S0407,Dylan Taylor,Male,16,4.7,88,74,High School,41380,Yes,7,Yes,Yes,Yes,Yes,56,64,70,61,61.7,C
S0408,Sophia Smith,Female,17,4.1,71,78,Bachelor's,79846,Yes,7,Yes,Yes,No,No,49,54,54,62,56.0,D
S0409,Gabriel Campbell,Female,16,4.5,66,80,High School,43057,Yes,7,Yes,Yes,Yes,No,57,53,52,61,57.0,D
S0410,Samantha Carter,Female,16,5.6,88,82,Master's,107195,No,7,No,Yes,Yes,Yes,73,64,80,67,69.8,C
S0411,Chloe Baker,Male,18,4.1,72,81,Master's,90606,Yes,8,No,Yes,Yes,No,56,58,78,54,58.9,D
S0412,Ava Phillips,Female,17,4.7,56,89,PhD,113956,No,8,Yes,No,Yes,Yes,51,52,60,59,55.8,D
S0413,Grace Carter,Male,17,4.2,82,65,Master's,101555,Yes,7,Yes,Yes,No,No,61,67,56,65,63.0,C
S0414,Michael Cook,Male,16,7.2,80,67,Bachelor's,79849,No,7,No,Yes,Yes,No,60,68,71,70,67.2,C
S0415,Isabella Smith,Male,17,5.5,89,84,High School,48690,Yes,9,No,No,Yes,Yes,73,68,72,72,71.4,B
S0416,Leah Jones,Male,16,5.3,79,76,Master's,111347,Yes,9,Yes,Yes,No,Yes,61,63,67,70,65.9,C
S0417,Natalie Green,Female,16,6.0,68,91,Bachelor's,55421,Yes,7,Yes,Yes,Yes,Yes,60,66,56,53,57.8,D
S0418,Daniel Rogers,Female,17,4.1,90,94,Bachelor's,60540,No,7,Yes,No,Yes,No,68,70,65,64,66.4,C
S0419,Nathan Walker,Male,17,6.3,91,84,High School,46288,No,7,Yes,No,Yes,Yes,67,74,72,70,70.4,B
S0420,Alexander Roberts,Female,17,5.5,78,71,High School,45966,Yes,9,Yes,No,No,No,61,59,56,64,61.0,C
S0421,David Moore,Female,16,2.7,76,93,Bachelor's,70882,No,6,No,No,No,Yes,53,58,54,61,57.4,D
